station_id,station_name,n_test_observations,mean_actual_demand,mae,rmse,r2
6474.11,E 40 St & 5 Ave,150,10.880000032491935,4.2462584018618115,7.632312967991517,0.6805395916380093
5980.11,Broadway & E 19 St,150,12.140000122725883,4.24335261553468,6.38602027911382,0.7243275533545535
6889.12,E 72 St & York Ave,150,10.206666582100437,4.227258220166977,6.0833497877717475,0.5890710829807524
5593.01,E 1 St & 1 Ave,150,12.633333278384079,4.225799177690678,5.85750052149253,0.5975749545827186
6611.02,W 37 St & 10 Ave,150,13.286666693385868,4.223205179500419,5.949706434180789,0.6738956207489633
6215.04,W 25 St & 6 Ave,150,9.966666742789991,4.221305289493147,6.510887950782979,0.508780898064982
6072.11,8 Ave & W 16 St,150,14.159999999162256,4.213380030579144,6.202548119859686,0.7214915135063127
7014.12,Broadway & W 61 St,150,11.61999993957363,4.210613317466754,6.3114496372778275,0.5784821035336492
6072.06,Greenwich Ave & 8 Ave,150,17.173333335341596,4.20553519115449,5.659267023952016,0.7794008954091419
5779.11,Ave A & E 14 St,150,16.06666664291396,4.1872390257753205,5.751321381133178,0.7199547678674367
6182.02,W 20 St & 7 Ave,150,12.753333428955209,4.179691407160285,5.747817535921009,0.6237161234024402
6955.05,W 54 St & 11 Ave,150,11.88666665955712,4.177474950060947,6.063691415831612,0.6930013621844058
4895.09,Jay St & York St,150,10.286666761078662,4.159974602108517,6.639741894344415,0.5474526942844307
6364.10,6 Ave & W 34 St,150,14.420000044659437,4.158628361669995,5.736482496372389,0.7019369669874931
5626.07,E 7 St & Ave A,150,11.626666687742452,4.150312900375938,5.623443347753709,0.5716995707020956
5687.04,MacDougal St & Prince St,150,12.259999923705674,4.12407844089447,5.909149053332602,0.6658104263472375
5880.02,W 4 St & 7 Ave S,150,15.699999962437198,4.104022293119924,5.628159263508081,0.6956457359244241
5216.07,Vesey St & Greenwich St,150,8.719999941020282,4.097546261367747,6.981911872703566,0.6861538052987244
6753.08,1 Ave & E 62 St,150,14.279999954904621,4.082052925086362,5.839992680927106,0.7108434441235607
4395.07,Hanson Pl & Ashland Pl,150,13.093333316383147,4.081380971857225,5.380613953810354,0.6816400096579267
5382.06,Grand St & Elizabeth St,150,14.166666628160998,4.066196437439379,5.664075715987059,0.7140805245204216
6280.12,E 32 St & Park Ave,150,11.519999995128789,4.059143932231064,5.768049218087031,0.6511425889458382
5989.02,W 15 St & 6 Ave,150,12.360000005447022,4.055303971756481,5.4718127778767665,0.6727206664502453
5343.10,Allen St & Hester St,150,9.986666608969665,4.033918990578674,5.397355856685619,0.4565010052025451
6450.12,8 Ave & W 33 St,150,10.686666681902521,4.028115754284471,5.77873837071999,0.5666994754996879
5626.13,St Marks Pl & 1 Ave,150,9.786666715065564,4.023570015586179,5.464539686795132,0.44241474030881256
5626.15,1 Ave & E 6 St,150,11.413333205338898,4.01099640068434,5.498514585322358,0.47682808650664377
6122.09,2 Ave & E 29 St,150,13.39333335836178,4.00002247756526,5.534624209714223,0.7096999145061245
5553.10,E 2 St & Ave A,150,9.546666728940242,3.9940416865001285,5.536913393657942,0.47451487480817967
5419.04,N 5 St & Wythe Ave,150,10.219999969324924,3.9909743453886746,5.792988483177431,0.5701179206658575
6306.06,W 22 St & 10 Ave,150,12.659999979029875,3.9906678444496158,5.179291468702459,0.6914687988264362
5382.07,Forsyth St & Grand St,150,11.579999955667306,3.983969609781317,5.738091636926967,0.620337539279963
6816.07,8 Ave & W 52 St,150,11.813333317752452,3.978643976014508,5.582892121428495,0.6341925071994745
5414.06,Allen St & Rivington St,150,11.933333311351552,3.9783989646249105,5.348502025404104,0.6088211624839881
6064.08,W 18 St & 6 Ave,150,11.673333324913129,3.9779742103596574,6.7117972184260575,0.7169270134827364
5703.13,Ave A & E 11 St,150,10.086666643133395,3.97652823710869,5.467951338257869,0.4503868424854488
6248.08,5 Ave & E 30 St,150,11.599999939644926,3.972483715243941,5.737496377639051,0.6652772686120433
7260.09,Amsterdam Ave & W 73 St,150,12.77333338757533,3.9651529537074035,5.793050734163416,0.6016934026205816
6593.15,6 Ave & W 45 St,150,9.493333358078798,3.964085791163325,5.91094246808834,0.6219649626990301
6215.07,W 27 St & 6 Ave,150,11.92000003169035,3.9571252643575567,6.334324453608565,0.694815780014006
5944.01,Franklin St & Dupont St,150,10.18000001345226,3.949920386221483,5.5159457978880395,0.6444531820477071
